ISN Part Number	Description	Cost	Special Retail	Regular Retail	Catalog Page	TW Page	UOM	UPC Code	Weight	Length	Width	Height	Country of Origin
EXTGW192503SLBKR	"19IN 3-DRAWER, 2-SHELF SIDE LOCKER, BLACK-RED HNDL"	836.16	1143.03	1143.03			1		0.00	0	0	0	CHN
EXTGW192508SBBKC	"19IN 8-DRAWER SIDE BOX, BLACK-CHROME HANDLES"	722.24	1031.77	1109.68			1		0.00	0	0	0	CHN
EXTGW192508SBBKR	"19IN 8-DRAWER SIDE BOX, BLACK-RED HANDLES"	722.24	1031.77	1109.68			1		0.00	0	0	0	CHN
EXTGW552501HCBKC	"GEARWRENCH 55_ X 25_ PRO HUTCH, BLACK WITH CHROME"	803.21	964.71	964.71			1		0.00	0	0	0	CHN
EXTGW552501HCBKR	"GEARWRENCH 55_ X 25_ PRO HUTCH, BLACK WITH RED"	803.21	1025.00	1025.00			1		0.00	0	0	0	CHN
ATEATTC229	ELECTRIC PNEUMATIC WHEEL CLAMP TIRE CHANGER W/BEAD	1244.35	1495.00	1495.00		150	1		1.00	1.00	1.00	1.00	CHN
OTC6522	LEAK TAMER	1044.25	1305.31	1305.31			1	731413566738	14.80	18.00	12.00	18.00	USA
ATEATTD-6MR	"6,000 LB. CAPACITY MID-RISE SCISSOR LIFT"	1355.75	1595.00	1595.00		140	1		2.00	2.00	2.00	2.00	CHN
ATEATWB41	COMPUTER WHEEL BALANCER	1368.75	1595.00	1595.00		150	1		1.00	1.00	1.00	1.00	CHN
EXTRX192507SBBK	"EXTREME TOOLS 19_ 7-DRAWER SIDE BOX, BLACK"	786.84	958.37	958.37			1		0.00	0	0	0	CHN
EXTRX192507SBBL	"EXTREME TOOLS 19_ 7-DRAWER SIDE BOX, BLUE"	786.84	958.37	958.37			1		205.00	26.00	21.00	45.00	CHN
EXTRX412508CHBK	"EXTREME TOOLS 41_ 8-DRAWER TOP CHEST, BLACK"	575.36	685.12	685.12		91	1		0.00	0	0	0	CHN
EXTRX412508CHBL	"EXTREME TOOLS 41_ 8-DRAWER TOP CHEST, BLUE"	575.36	685.12	685.12		91	1		212.00	42.00	26.00	24.00	CHN
EXTRX412511RCBK	"EXTREME TOOLS 41_ 11-DRAWER ROLLER CABINET, BLACK"	807.84	961.94	961.94		91	1		402.00	43.00	28.00	44.00	CHN
EXTRX412511RCBL	"EXTREME TOOLS 41_ 11-DRAWER ROLLER CABINET, BLUE"	807.84	961.94	961.94		91	1		330.00	43.00	27.00	41.00	CHN
ATEATTD-APEX15	"15,000 LB. CAPACITY OVERHEAD 2-POST LIFT, ETL/ALI"	4287.19	5045.00	5045.00		139	1		0.00	0	0	0	CHN
EXTRX722501HCBK	"72_ X 25_ DEEP PROFESSIONAL HUTCH, BLACK"	804.77	995.00	995.00			1		0.00	0	0	0	CHN
EXTRX722501HCBL	"72_ X 25_ DEEP PROFESSIONAL HUTCH, BLUE"	804.77	995.00	995.00			1		0.00	0	0	0	CHN
STL76800	STINGER SWITCHBLADE - USB ONLY	72.00	110.77	135.00		84	1	80926768000	1.25	9.50	3.00	3.00	CHN
EZRXL3300	NEW COB XTREEM LIGHT	56.99	87.68	91.79		49	1	8965003517	1.20	13.00	3.00	3.00	CHN
EZRXL3300FL-0	NEW EXTREME LIGHT-ORANGE	56.99	87.68	91.79		49	1	8965003616	2.00	5.00	3.00	1.00	0
EZRXL3300FL-B	XL3300 COB LIGHT BLUE	56.99	87.68	91.79			1	8965003593	1.20	13.50	4.00	3.00	CHN
EZRXL3300FL-G	EXTREME LIGHT-GREEN	56.99	87.68	91.79		49	1	8965003609	3.00	12.00	3.00	2.00	0
